"EFN","Phy","matched_name","RangeY","domY","mycoY"
1,"Acacia oviedoensis","Acacia oviedoensis",FALSE,FALSE,FALSE
1,"Acacia pacensis","Acacia pacensis",FALSE,FALSE,FALSE
1,"Acacia paraensis","Acacia paraensis",FALSE,FALSE,FALSE
1,"Acacia parramattensis","Acacia parramattensis",FALSE,FALSE,FALSE
1,"Acacia parviflora","Acacia parviflora",FALSE,FALSE,FALSE
1,"Acacia peninsularis","Acacia peninsularis",FALSE,FALSE,FALSE
1,"Acacia pennata","Acacia pennata",TRUE,FALSE,FALSE
1,"Acacia pennatula","Acacia pennatula",TRUE,FALSE,TRUE
1,"Acacia penninervis","Acacia penninervis",FALSE,FALSE,FALSE
1,"Acacia piauhiensis","Acacia piauhiensis",FALSE,FALSE,FALSE
1,"Acacia picachensis","Acacia picachensis",FALSE,FALSE,FALSE
1,"Acacia plumosa","Acacia plumosa",FALSE,FALSE,FALSE
1,"Acacia podalyriifolia","Acacia podalyriifolia",TRUE,FALSE,FALSE
1,"Acacia polyacantha","Acacia polyacantha",TRUE,FALSE,FALSE
1,"Acacia polyphylla","Acacia polyphylla",FALSE,FALSE,FALSE
1,"Acacia polypyrigenes","Acacia polypyrigenes",FALSE,FALSE,FALSE
1,"Acacia potosina","Acacia potosina",FALSE,FALSE,FALSE
1,"Acacia pringlei","Acacia pringlei",FALSE,FALSE,FALSE
1,"Acacia pubescens","Acacia pubescens",TRUE,FALSE,FALSE
1,"Acacia pulchella","Acacia pulchella",TRUE,FALSE,FALSE
1,"Acacia pycnantha","Acacia pycnantha",TRUE,FALSE,FALSE
1,"Acacia retinodes","Acacia retinodes",TRUE,FALSE,FALSE
1,"Acacia rigidula","Acacia rigidula",FALSE,FALSE,FALSE
1,"Acacia robusta","Acacia robusta",TRUE,FALSE,FALSE
1,"Acacia roigii","Acacia roigii",FALSE,FALSE,FALSE
1,"Acacia rorudiana","Acacia rorudiana",FALSE,FALSE,FALSE
1,"Acacia rubida","Acacia rubida",TRUE,FALSE,FALSE
1,"Acacia ruddiae","Acacia ruddiae",FALSE,FALSE,FALSE
1,"Acacia saligna","Acacia saligna",TRUE,FALSE,FALSE
1,"Acacia schaffneri","Acacia schaffneri",TRUE,FALSE,FALSE
1,"Acacia schottii","Acacia schottii",TRUE,FALSE,FALSE
1,"Acacia semirigida","Acacia semirigida",FALSE,FALSE,FALSE
1,"Acacia serra","Acacia serra",FALSE,FALSE,FALSE
1,"Acacia shirleyi","Acacia shirleyi",TRUE,FALSE,FALSE
1,"Acacia soratensis","Acacia somalensis",FALSE,FALSE,FALSE
1,"Acacia spadicifera","Acacia spadicigera",FALSE,FALSE,FALSE
1,"Acacia sphaerocephala","Acacia sphaerocephala",FALSE,TRUE,FALSE
1,"Acacia stenophylla","Acacia stenophylla",TRUE,FALSE,FALSE
1,"Acacia stowardii","Acacia stowardii",FALSE,FALSE,FALSE
1,"Acacia suaveolens","Acacia suaveolens",TRUE,FALSE,TRUE
1,"Acacia subangulata","Acacia subangulata",FALSE,FALSE,FALSE
1,"Acacia subulata","Acacia subulata",FALSE,FALSE,FALSE
1,"Acacia tamarindifolia","Acacia tamarindifolia",FALSE,FALSE,FALSE
1,"Acacia telensis","Acacia telensis",FALSE,FALSE,FALSE
1,"Acacia tenuifolia","Acacia tenuifolia",FALSE,FALSE,FALSE
1,"Acacia terminalis","Acacia terminalis",TRUE,FALSE,FALSE
1,"Acacia tetragonophylla","Acacia tetragonophylla",TRUE,FALSE,FALSE
1,"Acacia tomentella","Acacia tomentella",FALSE,FALSE,FALSE
1,"Acacia tortuosa","Acacia tortuosa",FALSE,FALSE,FALSE
1,"Acacia triptera","Acacia triptera",TRUE,FALSE,FALSE
1,"Acacia ulcifolia","Acacia ulicifolia",FALSE,FALSE,FALSE
1,"Acacia uncinella","Acacia uncinella",FALSE,FALSE,FALSE
1,"Acacia villosa","Acacia villosa",TRUE,FALSE,FALSE
1,"Acacia wildenowiana","Acacia willdenowiana",FALSE,FALSE,FALSE
1,"Acacia zapatensis","Acacia zapatensis",FALSE,FALSE,FALSE
1,"Adenanthera colubin","Anadenanthera colubrina",FALSE,FALSE,FALSE
1,"Adenanthera pavonina","Adenanthera pavonina",FALSE,FALSE,FALSE
1,"Adenanthera spahaerocephala",NA,FALSE,FALSE,FALSE
1,"Affonsea hirsuta","Affonsea hirsuta",FALSE,FALSE,FALSE
1,"Albizia adinocephala","Albizia adinocephala",TRUE,FALSE,FALSE
1,"Albizia amara","Albizia amara",TRUE,FALSE,FALSE
1,"Albizia caribeae","Albizia caribaea",FALSE,FALSE,FALSE
1,"Albizia chinensis","Albizia chinensis",TRUE,FALSE,FALSE
