Name,Phy,EFN
Anochetus taiwaniensis,Anochetus_taiwaniensis,0
Anochetus tua,Anochetus_tua,0
Anochetus turneri,Anochetus_turneri,0
Anochetus validus,Anochetus_validus,0
Anochetus werneri,Anochetus_werneri,0
Anomalomyrma boltoni,Anomalomyrma_boltoni,0
Anomalomyrma helenae,Anomalomyrma_helenae,0
Anomalomyrma taylori,Anomalomyrma_taylori,0
Anonychomyrma itinerans,Anonychomyrma_itinerans,0
Anonychomyrma procidua,Anonychomyrma_procidua,0
Anonychomyrma scrutator,Anonychomyrma_scrutator,0
Anoplolepis braunsi,Anoplolepis_braunsi,0
Anoplolepis custodiens,Anoplolepis_custodiens,0
Anoplolepis steingroeveri,Anoplolepis_steingroeveri,0
Aphaenogaster aktaci,Aphaenogaster_aktaci,0
Aphaenogaster albisetosa,Aphaenogaster_albisetosa,0
Aphaenogaster araneoides,Aphaenogaster_araneoides,0
Aphaenogaster atlantis,Aphaenogaster_atlantis,0
Aphaenogaster balcanica,Aphaenogaster_balcanica,0
Aphaenogaster barbara,Aphaenogaster_barbara,0
Aphaenogaster barbigula,Aphaenogaster_barbigula,0
Aphaenogaster baronii,Aphaenogaster_baronii,0
Aphaenogaster beccarii,Aphaenogaster_beccarii,0
Aphaenogaster beesoni,Aphaenogaster_beesoni,0
Aphaenogaster boulderensis,Aphaenogaster_boulderensis,0
Aphaenogaster cardenai,Aphaenogaster_cardenai,0
Aphaenogaster carolinensis,Aphaenogaster_carolinensis,0
Aphaenogaster cecconii,Aphaenogaster_cecconii,0
Aphaenogaster cockerelli,Aphaenogaster_cockerelli,0
Aphaenogaster crocea,Aphaenogaster_crocea,0
Aphaenogaster dlusskyi,Aphaenogaster_dlusskyi,0
Aphaenogaster edentula,Aphaenogaster_edentula,0
Aphaenogaster ensifera,Aphaenogaster_ensifera,0
Aphaenogaster epirotes,Aphaenogaster_epirotes,0
Aphaenogaster famelica,Aphaenogaster_famelica,0
Aphaenogaster flemingi,Aphaenogaster_flemingi,0
Aphaenogaster floridana,Aphaenogaster_floridana,0
Aphaenogaster fulva,Aphaenogaster_fulva,0
Aphaenogaster gemella,Aphaenogaster_gemella,0
Aphaenogaster gibbosa,Aphaenogaster_gibbosa,0
Aphaenogaster holtzi,Aphaenogaster_holtzi,0
Aphaenogaster huachucana,Aphaenogaster_huachucana,0
Aphaenogaster iberica,Aphaenogaster_iberica,0
Aphaenogaster incurviclypea,Aphaenogaster_incurviclypea,0
Aphaenogaster inermis,Aphaenogaster_inermis,0
Aphaenogaster ionia,Aphaenogaster_ionia,0
Aphaenogaster iranica,Aphaenogaster_iranica,0
Aphaenogaster januschevi,Aphaenogaster_januschevi,0
Aphaenogaster japonica,Aphaenogaster_japonica,0
Aphaenogaster koniari,Aphaenogaster_koniari,0
Aphaenogaster lamellidens,Aphaenogaster_lamellidens,0
Aphaenogaster longiceps,Aphaenogaster_longiceps,0
Aphaenogaster mariae,Aphaenogaster_mariae,0
Aphaenogaster megommata,Aphaenogaster_megommata,0
Aphaenogaster mexicana,Aphaenogaster_mexicana,0
Aphaenogaster miamiana,Aphaenogaster_miamiana,0
Aphaenogaster muelleriana,Aphaenogaster_muelleriana,0
Aphaenogaster nadigi,Aphaenogaster_nadigi,0
Aphaenogaster obsidiana,Aphaenogaster_obsidiana,0
Aphaenogaster occidentalis,Aphaenogaster_occidentalis,0
Aphaenogaster ovaticeps,Aphaenogaster_ovaticeps,0
Aphaenogaster pallida,Aphaenogaster_pallida,0
Aphaenogaster phalangium,Aphaenogaster_phalangium,0
Aphaenogaster phillipsi,Aphaenogaster_phillipsi,0
Aphaenogaster picea,Aphaenogaster_picea,0
Aphaenogaster picena,Aphaenogaster_picena,0
Aphaenogaster praedo,Aphaenogaster_praedo,0
Aphaenogaster pumilopuncta,Aphaenogaster_pumilopuncta,0
Aphaenogaster punctaticeps,Aphaenogaster_punctaticeps,0
Aphaenogaster pythia,Aphaenogaster_pythia,0
Aphaenogaster rothneyi,Aphaenogaster_rothneyi,0
Aphaenogaster rudis,Aphaenogaster_rudis,0
Aphaenogaster schmidti,Aphaenogaster_schmidti,0
Aphaenogaster semipolita,Aphaenogaster_semipolita,0
Aphaenogaster senilis,Aphaenogaster_senilis,0
Aphaenogaster simonellii,Aphaenogaster_simonellii,0
Aphaenogaster spinosa,Aphaenogaster_spinosa,0
Aphaenogaster splendida,Aphaenogaster_splendida,0
Aphaenogaster striativentris,Aphaenogaster_striativentris,0
Aphaenogaster subcostata,Aphaenogaster_subcostata,0
Aphaenogaster subexaperata,Aphaenogaster_subexaperata,0
Aphaenogaster subterranea,Aphaenogaster_subterranea,0
Aphaenogaster subterraneoides,Aphaenogaster_subterraneoides,0
Aphaenogaster swammerdami,Aphaenogaster_swammerdami,0
Aphaenogaster tennesseensis,Aphaenogaster_tennesseensis,0
Aphaenogaster testaceopilosa,Aphaenogaster_testaceopilosa,0
Aphaenogaster texana,Aphaenogaster_texana,0
Aphaenogaster treatae,Aphaenogaster_treatae,0
Aphaenogaster wilsoni,Aphaenogaster_wilsoni,0
Aphomomyrmex afer,Aphomomyrmex_afer,0
Apomyrma stygia,Apomyrma_stygia,0
Apterostigma calverti,Apterostigma_calverti,0
Apterostigma collare,Apterostigma_collare,0
Apterostigma dentigerum,Apterostigma_dentigerum,0
Apterostigma goniodes,Apterostigma_goniodes,0
Apterostigma madidiense,Apterostigma_madidiense,0
Apterostigma mayri,Apterostigma_mayri,0
Apterostigma megacephala,Apterostigma_megacephala,0
Apterostigma mexicanum,Apterostigma_mexicanum,0
Apterostigma pilosum,Apterostigma_pilosum,0
Apterostigma steigeri,Apterostigma_steigeri,0
Apterostigma urichii,Apterostigma_urichii,0
Aptinoma antongil,Aptinoma_antongil,0
